NAME1,NAME2,NAME3,id,数据仓库,图层,wmts,Relative_path,Absolute_path,Absolute_path_server,note,dataType,resolution,zip_level
土地覆盖数据,中分辨率土地覆盖数据,CLCD土地覆盖,,,,,,,,,,,
土地覆盖数据,中分辨率土地覆盖数据,CLCD土地覆盖,,,,,,,,,,,
DEM高程数据,低分辨率DEM数据,250米DEM,DEM250, landcover100_resample_china,CHINA_DEM_250m,https://geoserver.landcover100.com/geoserver//landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3ACHINA_DEM_250m&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=25&TileRow=13,/raster_data_DB/DEM/low_resolution/CHINA_DEM_250m.tif,E:/ruiduobao/MY_website/landcover100_com_DB/DEM/low_resolution/CHINA_DEM_250m.tif,/mnt/yundisk/landcover100DB/DEM/low_resolution/CHINA_DEM_250m.tif,,float32,250,3
DEM高程数据,低分辨率DEM数据,1000米DEM,DEM1000, landcover100_resample_china,CHINA_DEM_1000m,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3ACHINA_DEM_1000m&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=25&TileRow=14,/raster_data_DB/DEM/low_resolution/CHINA_DEM_1000m.tif,E:/ruiduobao/MY_website/landcover100_com_DB/DEM/low_resolution/CHINA_DEM_1000m.tif,/mnt/yundisk/landcover100DB/DEM/low_resolution/CHINA_DEM_1000m.tif,,float32,1000,3
DEM高程数据,中分辨率DEM数据,TANX30米DEM,DEMTANX, landcover100_resample_china,TAN_DEM_geoserver,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3ATAN_DEM_geoserver&style=&tilematrixset=EPSG%3A4326&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fpng&TileMatrix=EPSG%3A4326%3A7&TileCol=206&TileRow=41,,F:/landcover100_com_DB/DEM/medium_resolution/TAN_DEM/TAN_DEM.tif,/mnt/yundisk/landcover100DB/DEM/medium_resolution/TAN_DEM/TAN_DEM.tif,,float32,30,4
DEM高程数据,中分辨率DEM数据,30米Copernicus_DEM,Copernicus_DEM, landcover100_resample_china,Copernicus_DEM_server,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3ACopernicus_DEM_server&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=11,,F:/landcover100_com_DB/DEM/medium_resolution/Copernicus_DEM/Copernicus_DEM.tif,/mnt/yundisk/landcover100DB/DEM/medium_resolution/Copernicus_DEM/Copernicus_DEM.tif,,int16,30,7
土地覆盖数据,低分辨率土地覆盖数据,500米Modis土地覆盖2001,Landcover_MODIS_2001,landcover100_resample_china_LandCover,Landcover_MODIS_2001,,,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,,byte,500,5
土地覆盖数据,低分辨率土地覆盖数据,500米Modis土地覆盖2002,Landcover_MODIS_2002,landcover101_resample_china_LandCover,Landcover_MODIS_2002,,,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,,byte,500,5
土地覆盖数据,低分辨率土地覆盖数据,500米Modis土地覆盖2003,Landcover_MODIS_2003,landcover102_resample_china_LandCover,Landcover_MODIS_2003,,,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,,byte,500,5
土地覆盖数据,低分辨率土地覆盖数据,500米Modis土地覆盖2004,Landcover_MODIS_2004,landcover103_resample_china_LandCover,Landcover_MODIS_2004,,,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,,byte,500,5
